0:0:0:0:0:0:0:1 - - [25/Apr/2021:15:06:11 +0530] "GET /OnlineShoppingProject/admin/addNewProduct.jsp HTTP/1.1" 200 2868
0:0:0:0:0:0:0:1 - - [25/Apr/2021:15:07:10 +0530] "GET /OnlineShoppingProject/admin/addNewProduct.jsp HTTP/1.1" 200 2880
0:0:0:0:0:0:0:1 - - [25/Apr/2021:15:23:48 +0530] "GET /OnlineShoppingProject/admin/addNewProduct.jsp HTTP/1.1" 200 2770
0:0:0:0:0:0:0:1 - - [25/Apr/2021:15:24:54 +0530] "POST /OnlineShoppingProject/admin/addNewProductAction.jsp HTTP/1.1" 500 4242
0:0:0:0:0:0:0:1 - - [25/Apr/2021:15:25:45 +0530] "POST /OnlineShoppingProject/admin/addNewProductAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Apr/2021:15:25:45 +0530] "GET /OnlineShoppingProject/admin/addNewProduct.jsp?msg=done HTTP/1.1" 200 2824
0:0:0:0:0:0:0:1 - - [25/Apr/2021:15:26:21 +0530] "POST /OnlineShoppingProject/admin/addNewProductAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Apr/2021:15:26:21 +0530] "GET /OnlineShoppingProject/admin/addNewProduct.jsp?msg=done HTTP/1.1" 200 2824
0:0:0:0:0:0:0:1 - - [25/Apr/2021:15:26:56 +0530] "POST /OnlineShoppingProject/admin/addNewProductAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Apr/2021:15:26:56 +0530] "GET /OnlineShoppingProject/admin/addNewProduct.jsp?msg=done HTTP/1.1" 200 2824
