127.0.0.1 - - [04/Feb/2021:22:23:21 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [04/Feb/2021:22:52:33 +0530] "GET /OnlineShoppingProject/signup.jsp HTTP/1.1" 200 1477
0:0:0:0:0:0:0:1 - - [04/Feb/2021:22:52:48 +0530] "GET /OnlineShoppingProject/signup.jsp HTTP/1.1" 200 1477
0:0:0:0:0:0:0:1 - - [04/Feb/2021:22:52:49 +0530] "GET /OnlineShoppingProject/signup.jsp HTTP/1.1" 200 1477
0:0:0:0:0:0:0:1 - - [04/Feb/2021:22:56:06 +0530] "GET /OnlineShoppingProject/signup.jsp HTTP/1.1" 200 1477
0:0:0:0:0:0:0:1 - - [04/Feb/2021:22:57:50 +0530] "GET /OnlineShoppingProject/signup.jsp HTTP/1.1" 200 1477
0:0:0:0:0:0:0:1 - - [04/Feb/2021:22:57:51 +0530] "GET /OnlineShoppingProject/signup.jsp HTTP/1.1" 200 1477
0:0:0:0:0:0:0:1 - - [04/Feb/2021:22:57:51 +0530] "GET /OnlineShoppingProject/signup.jsp HTTP/1.1" 200 1477
0:0:0:0:0:0:0:1 - - [04/Feb/2021:23:02:07 +0530] "GET /OnlineShoppingProject/signup.jsp HTTP/1.1" 200 1477
0:0:0:0:0:0:0:1 - - [04/Feb/2021:23:02:08 +0530] "GET /OnlineShoppingProject/signup.jsp HTTP/1.1" 200 1477
0:0:0:0:0:0:0:1 - - [04/Feb/2021:23:02:09 +0530] "GET /OnlineShoppingProject/signup.jsp HTTP/1.1" 200 1477
0:0:0:0:0:0:0:1 - - [04/Feb/2021:23:02:09 +0530] "GET /OnlineShoppingProject/signup.jsp HTTP/1.1" 200 1477
0:0:0:0:0:0:0:1 - - [04/Feb/2021:23:02:09 +0530] "GET /OnlineShoppingProject/signup.jsp HTTP/1.1" 200 1477
0:0:0:0:0:0:0:1 - - [04/Feb/2021:23:02:09 +0530] "GET /OnlineShoppingProject/signup.jsp HTTP/1.1" 200 1477
0:0:0:0:0:0:0:1 - - [04/Feb/2021:23:02:36 +0530] "GET /OnlineShoppingProject/signup.jsp HTTP/1.1" 200 1477
0:0:0:0:0:0:0:1 - - [04/Feb/2021:23:02:45 +0530] "GET /OnlineShoppingProject/signup.jsp HTTP/1.1" 200 1477
0:0:0:0:0:0:0:1 - - [04/Feb/2021:23:02:46 +0530] "GET /OnlineShoppingProject/signup.jsp HTTP/1.1" 200 1477
0:0:0:0:0:0:0:1 - - [04/Feb/2021:23:02:46 +0530] "GET /OnlineShoppingProject/signup.jsp HTTP/1.1" 200 1477
0:0:0:0:0:0:0:1 - - [04/Feb/2021:23:02:47 +0530] "GET /OnlineShoppingProject/signup.jsp HTTP/1.1" 200 1477
0:0:0:0:0:0:0:1 - - [04/Feb/2021:23:03:02 +0530] "GET /OnlineShoppingProject/signup.jsp HTTP/1.1" 200 1477
0:0:0:0:0:0:0:1 - - [04/Feb/2021:23:03:49 +0530] "GET /OnlineShoppingProject/signup.jsp HTTP/1.1" 200 1477
